task_id,task_type,source_type,samples_path,sample_id_col,crs,labels_path,task_meta_path,source,label_cols,renormalize_distribution,city,task,label_col,normalization,label_id_col,class_names,split_method,n_blocks
london.landuse.2026,classification,samples,../tasks/london.landuse.2026/samples.parquet,sample_id,EPSG:4326,,../tasks/london.landuse.2026/task.json,Harmonized land-use point samples mapped to CityRep benchmark classes,,,london,landuse,label_id,,label_id,"[""Residential"", ""Mixed Use"", ""Commercial"", ""Industrial"", ""Transportation"", ""Green / Recreation"", ""Institutional / Civic"", ""Utilities"", ""Water"", ""Agriculture / Rural"", ""Vacant / Reserve"", ""Other""]",spatial_block,10.0
london.road_density.2026,regression,samples,../tasks/london.road_density.2026/samples.parquet,sample_id,EPSG:4326,../tasks/london.road_density.2026/labels.tif,../tasks/london.road_density.2026/task.json,"OpenStreetMap drivable highway ways from Overpass, downloaded 2026-04-28; road length density on WorldPop 2024 grid",,,london,road_density,label,zscore,,,,
london.population.2024,regression,samples,../tasks/london.population.2024/samples.parquet,sample_id,EPSG:4326,../tasks/london.population.2024/labels.tif,../tasks/london.population.2024/task.json,"WorldPop Population Counts, constrained, 100m, R2024B, 2024",,,london,population,label,zscore,,,,
london.age_distribution.2024,distribution,samples,../tasks/london.age_distribution.2024/samples.parquet,sample_id,EPSG:4326,../tasks/london.age_distribution.2024/labels.tif,../tasks/london.age_distribution.2024/task.json,"WorldPop age-sex counts aggregated to 10 age-bin distributions, 2024","[""age_00_04"", ""age_05_14"", ""age_15_24"", ""age_25_34"", ""age_35_44"", ""age_45_54"", ""age_55_64"", ""age_65_74"", ""age_75_84"", ""age_85_plus""]",True,london,age_distribution,,,,,,
london.gdp.2024,regression,samples,../tasks/london.gdp.2024/samples.parquet,sample_id,EPSG:4326,../tasks/london.gdp.2024/labels.tif,../tasks/london.gdp.2024/task.json,"Kummu et al. gridded GDP total, Zenodo 10.5281/zenodo.18429133, 2024 band",,,london,gdp,label,zscore,,,,
london.nightlight.2024,regression,samples,../tasks/london.nightlight.2024/samples.parquet,sample_id,EPSG:4326,../tasks/london.nightlight.2024/labels.tif,../tasks/london.nightlight.2024/task.json,"VIIRS VNL V2.2 annual nighttime lights average_masked radiance, 2024",,,london,nightlight,label,zscore,,,spatial_block,10.0
london.pm25.2022,regression,samples,../tasks/london.pm25.2022/samples.parquet,sample_id,EPSG:4326,../tasks/london.pm25.2022/labels.tif,../tasks/london.pm25.2022/task.json,"SEDAC/CIESIN Global Annual PM2.5 Grids, V5.GL.04, 2022",,,london,pm25,label,zscore,,,,
london.lst_day_mean.2024,regression,samples,../tasks/london.lst_day_mean.2024/samples.parquet,sample_id,EPSG:4326,../tasks/london.lst_day_mean.2024/labels.tif,../tasks/london.lst_day_mean.2024/task.json,"MODIS/Terra MOD11A2.061 8-day daytime land surface temperature annual mean, 2024",,,london,lst_day_mean,label,zscore,,,,
new_york.landuse.2026,classification,samples,../tasks/new_york.landuse.2026/samples.parquet,sample_id,EPSG:4326,,../tasks/new_york.landuse.2026/task.json,Harmonized land-use point samples mapped to CityRep benchmark classes,,,new_york,landuse,label_id,,label_id,"[""Residential"", ""Mixed Use"", ""Commercial"", ""Industrial"", ""Transportation"", ""Green / Recreation"", ""Institutional / Civic"", ""Utilities"", ""Water"", ""Agriculture / Rural"", ""Vacant / Reserve"", ""Other""]",spatial_block,10.0
new_york.road_density.2026,regression,samples,../tasks/new_york.road_density.2026/samples.parquet,sample_id,EPSG:4326,../tasks/new_york.road_density.2026/labels.tif,../tasks/new_york.road_density.2026/task.json,"OpenStreetMap drivable highway ways from Overpass, downloaded 2026-04-28; road length density on WorldPop 2024 grid",,,new_york,road_density,label,zscore,,,,
new_york.population.2024,regression,samples,../tasks/new_york.population.2024/samples.parquet,sample_id,EPSG:4326,../tasks/new_york.population.2024/labels.tif,../tasks/new_york.population.2024/task.json,"WorldPop Population Counts, constrained, 100m, R2024B, 2024",,,new_york,population,label,zscore,,,,
new_york.age_distribution.2024,distribution,samples,../tasks/new_york.age_distribution.2024/samples.parquet,sample_id,EPSG:4326,../tasks/new_york.age_distribution.2024/labels.tif,../tasks/new_york.age_distribution.2024/task.json,"WorldPop age-sex counts aggregated to 10 age-bin distributions, 2024","[""age_00_04"", ""age_05_14"", ""age_15_24"", ""age_25_34"", ""age_35_44"", ""age_45_54"", ""age_55_64"", ""age_65_74"", ""age_75_84"", ""age_85_plus""]",True,new_york,age_distribution,,,,,,
new_york.gdp.2024,regression,samples,../tasks/new_york.gdp.2024/samples.parquet,sample_id,EPSG:4326,../tasks/new_york.gdp.2024/labels.tif,../tasks/new_york.gdp.2024/task.json,"Kummu et al. gridded GDP total, Zenodo 10.5281/zenodo.18429133, 2024 band",,,new_york,gdp,label,zscore,,,,
new_york.nightlight.2024,regression,samples,../tasks/new_york.nightlight.2024/samples.parquet,sample_id,EPSG:4326,../tasks/new_york.nightlight.2024/labels.tif,../tasks/new_york.nightlight.2024/task.json,"VIIRS VNL V2.2 annual nighttime lights average_masked radiance, 2024",,,new_york,nightlight,label,zscore,,,spatial_block,10.0
new_york.pm25.2022,regression,samples,../tasks/new_york.pm25.2022/samples.parquet,sample_id,EPSG:4326,../tasks/new_york.pm25.2022/labels.tif,../tasks/new_york.pm25.2022/task.json,"SEDAC/CIESIN Global Annual PM2.5 Grids, V5.GL.04, 2022",,,new_york,pm25,label,zscore,,,,
